,fileName,plantStatus,plantHeight
154,imaging_lens_position_7.0_cam_0_1731749402.jpg,False,0
155,imaging_lens_position_7.0_cam_0_1732041002.jpg,True,107
156,imaging_lens_position_7.0_cam_0_1732678202.jpg,True,443
157,imaging_lens_position_7.0_cam_0_1731443402.jpg,False,0
158,imaging_lens_position_7.0_cam_0_1733229002.jpg,True,1439
159,imaging_lens_position_7.0_cam_0_1732955402.jpg,True,631
160,imaging_lens_position_7.0_cam_0_1731645002.jpg,False,0
161,imaging_lens_position_7.0_cam_0_1733239802.jpg,True,1449
162,imaging_lens_position_7.0_cam_0_1732861802.jpg,True,617
163,imaging_lens_position_7.0_cam_0_1731475802.jpg,False,0
164,imaging_lens_position_7.0_cam_0_1732192202.jpg,True,170
165,imaging_lens_position_7.0_cam_0_1733135402.jpg,True,1056
166,imaging_lens_position_7.0_cam_0_1732401002.jpg,True,346
167,imaging_lens_position_7.0_cam_0_1732753802.jpg,True,622
168,imaging_lens_position_7.0_cam_0_1732267802.jpg,True,407
169,imaging_lens_position_7.0_cam_0_1731313802.jpg,False,0
170,imaging_lens_position_7.0_cam_0_1733110202.jpg,True,773
171,imaging_lens_position_7.0_cam_0_1731551402.jpg,False,0
172,imaging_lens_position_7.0_cam_0_1731537002.jpg,False,0
173,imaging_lens_position_7.0_cam_0_1730999359.jpg,False,0
174,imaging_lens_position_7.0_cam_0_1733189402.jpg,True,1603
175,imaging_lens_position_7.0_cam_0_1731162602.jpg,False,0
176,imaging_lens_position_7.0_cam_0_1732908602.jpg,True,168
177,imaging_lens_position_7.0_cam_0_1732440602.jpg,True,520
178,imaging_lens_position_7.0_cam_0_1732487402.jpg,True,185
179,imaging_lens_position_7.0_cam_0_1731843002.jpg,True,160
180,imaging_lens_position_7.0_cam_0_1731907802.jpg,True,178
181,imaging_lens_position_7.0_cam_0_1731299402.jpg,False,0
182,imaging_lens_position_7.0_cam_0_1731760202.jpg,False,0
183,imaging_lens_position_7.0_cam_0_1732962602.jpg,True,609
184,imaging_lens_position_7.0_cam_0_1732707002.jpg,True,540
185,imaging_lens_position_7.0_cam_0_1731508202.jpg,False,0
186,imaging_lens_position_7.0_cam_0_1731641402.jpg,True,129
187,imaging_lens_position_7.0_cam_0_1731479402.jpg,False,0
188,imaging_lens_position_7.0_cam_0_1732156202.jpg,True,182
189,imaging_lens_position_7.0_cam_0_1731565802.jpg,False,0
190,imaging_lens_position_7.0_cam_0_1731648602.jpg,True,131
191,imaging_lens_position_7.0_cam_0_1732188602.jpg,True,174
192,imaging_lens_position_7.0_cam_0_1732998602.jpg,True,194
193,imaging_lens_position_7.0_cam_0_1732134602.jpg,True,163
194,imaging_lens_position_7.0_cam_0_1731569402.jpg,False,0
195,imaging_lens_position_7.0_cam_0_1732674602.jpg,True,172
196,imaging_lens_position_7.0_cam_0_1732271402.jpg,True,370
197,imaging_lens_position_7.0_cam_0_1732451402.jpg,True,448
198,imaging_lens_position_7.0_cam_0_1733139002.jpg,True,1359
199,imaging_lens_position_7.0_cam_0_1732786202.jpg,True,184
200,imaging_lens_position_7.0_cam_0_1733128202.jpg,True,210
201,imaging_lens_position_7.0_cam_0_1731414602.jpg,False,0
202,imaging_lens_position_7.0_cam_0_1732872602.jpg,True,490
203,imaging_lens_position_7.0_cam_0_1731753002.jpg,False,0
204,imaging_lens_position_7.0_cam_0_1732966202.jpg,True,676
205,imaging_lens_position_7.0_cam_0_1732465802.jpg,True,548
206,imaging_lens_position_7.0_cam_0_1732318202.jpg,True,434
207,imaging_lens_position_7.0_cam_0_1731591002.jpg,False,0
208,imaging_lens_position_7.0_cam_0_1732152602.jpg,True,180
